id,re_x,re_y
IS481_02235,4951.83,3005.83
IS481_02240,1157.33,1449.83
IS481_02245,2513.33,2937.33
IS481_02250,2370.33,3008.67
IS481_02255,6140.75,7268.33
IS481_02260,919.33,1015.17
IS481_02265,4242.08,2604.5
IS481_02270,388.33,490.5
IS481_02275,3007.83,4033.83
IS481_02280,2517.5,1715.75
IS481_02285,382.5,352.33
IS481_02295,565.83,714.67
IS481_02305,321.0,459.0
IS481_02310,1551.83,1735.83
IS481_02315,2276.0,1908.67
IS481_02320,3165.0,2490.17
IS481_02325,118.5,322.0
IS481_02330,556.58,1273.17
IS481_02335,2275.0,5310.0
IS481_02340,1319.83,3626.33
IS481_02345,5633.0,7291.42
IS481_02350,136.5,109.0
IS481_02355,832.5,778.0
IS481_02360,5683.83,6398.67
IS481_02365,623.17,2854.5
IS481_02370,21595.33,135550.08
IS481_02375,4316.17,41462.0
IS481_02380,10960.83,9231.17
IS481_02385,11262.83,38086.33
IS481_02390,1473.5,6734.83
IS481_02395,199.0,236.0
IS481_02400,277.75,262.83
IS481_02405,142.25,118.0
IS481_02410,340.5,291.5
IS481_02415,39.5,64.33
IS481_02420,63.83,57.0
IS481_02425,164.33,172.33
IS481_02430,2678.5,3103.33
IS481_02435,621.5,681.83
IS481_02440,47.83,70.0
IS481_02445,84.0,99.33
IS481_02450,83.0,99.17
IS481_02455,113.67,110.5
IS481_02460,3263.5,1254.67
IS481_02465,2482.0,7763.17
IS481_02470,1175.67,246.5
IS481_02475,69249.33,7397.83
IS481_02480,12743.5,876.5
IS481_02485,1207.58,799.33
IS481_02490,3319.33,1919.83
IS481_02495,151.5,96.17
IS481_02500,190.33,137.17
IS481_02505,1438.33,987.5
IS481_02510,430.5,349.5
IS481_02515,8081.33,3240.33
IS481_02520,1460.5,1319.5
IS481_02525,2134.83,1321.25
IS481_02530,385.0,611.0
IS481_02535,306.0,372.83
IS481_02540,419.0,406.0
IS481_02545,891.25,904.25
IS481_02550,2543.0,1169.0
IS481_02555,1130.67,233.0
IS481_02560,726.83,1863.0
IS481_02565,399.33,388.5
IS481_02570,338.25,289.0
IS481_02575,2114.5,1103.0
IS481_02580,372.83,159.0
IS481_02585,252.0,228.83
IS481_02590,333.0,281.25
IS481_02595,1610.5,1010.42
IS481_02600,1827.0,2915.0
IS481_02605,2784.25,4490.67
IS481_02610,2692.67,2742.87
IS481_02620,523.42,513.5
IS481_02625,440.5,605.33
IS481_02630,4987.0,4810.33
IS481_02635,2438.5,2633.0
IS481_02640,16039.5,19523.67
IS481_02645,5576.83,5746.58
IS481_02650,4891.17,9019.33
IS481_02655,9286.0,12430.92
IS481_02660,3670.33,2852.0
IS481_02665,3977.0,4681.33
IS481_02670,13254.92,9062.5
IS481_02675,3515.0,2175.67
IS481_02680,2030.83,1275.5
IS481_02685,1759.33,1355.0
IS481_02690,3083.5,2034.75
IS481_02695,12298.17,4671.67
IS481_02700,1238.33,681.17
IS481_02705,3313.0,753.67
IS481_02710,9455.5,4072.0
IS481_02715,6220.25,4671.25
IS481_02720,9174.67,8876.58
IS481_02725,12467.5,21943.42
IS481_02730,6866.17,10628.83
IS481_02735,5222.83,6666.5
IS481_02740,5251.33,6662.83
IS481_02745,274.67,335.5
IS481_02750,1315.33,1267.67
IS481_02755,1688.42,1106.08
IS481_02760,223.83,111.25
IS481_02765,958.75,423.67
IS481_02770,3064.0,4366.92
IS481_02780,777.0,368.17
IS481_02785,442.5,323.0
IS481_02790,303.5,189.0
IS481_02795,116.83,83.33
IS481_02800,93.5,93.17
IS481_02805,122.0,137.0
IS481_02810,1054.5,653.17
IS481_02815,507.67,362.67
IS481_02820,509.5,295.92
IS481_02825,197.83,103.0
IS481_02830,420.67,258.0
IS481_02835,377.08,259.33
IS481_02840,555.08,364.17
IS481_02845,367.5,247.33
IS481_02850,231.67,118.17
IS481_02855,73.33,39.53
IS481_02860,449.83,236.5
IS481_02865,410.5,269.83
IS481_02870,472.0,267.67
IS481_02875,296.08,204.83
IS481_02880,266.5,202.0
IS481_02885,182.5,150.0
IS481_02890,114.33,93.83
IS481_02895,152.83,112.0
IS481_02900,52.5,37.83
IS481_02905,2299.83,704.33
IS481_02910,435.0,91.5
IS481_02915,839.17,249.0
IS481_02920,1090.33,274.67
IS481_02925,1075.0,1035.0
IS481_02930,148.0,93.5
IS481_02935,74.5,76.5
IS481_02940,36.17,34.83
IS481_02945,239.83,165.0
IS481_02950,303.83,295.83
IS481_02955,614.67,404.5
IS481_02960,144.5,136.58
IS481_02965,417.83,340.83
IS481_02970,259.5,203.92
IS481_02975,61.33,68.5
IS481_02980,351.67,340.17
IS481_02985,1228.0,534.83
IS481_02990,4565.5,1271.33
IS481_02995,78.17,71.0
IS481_03000,374.17,270.17
IS481_03005,247.17,168.83
IS481_03010,453.5,245.17
IS481_03015,15013.33,7874.33
IS481_03020,832.5,2809.67
IS481_03025,516.25,1731.0
IS481_03030,8459.75,5363.33
IS481_03035,5432.17,3193.67
